col1,col2,col3,col4
oleg1,oleg2,oleg3,oleg4
oleg1,oleg2,oleg3,oleg4
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
